ID Ticket,Date,Client,Description,Type de problème,Priorité
183,2023-12-31,IT Support,Problème de bande passante avec le cloud,Réseau,Élevée
184,2023-12-31,Marketing,Problème d'affichage des bannières publicitaires,Logiciel,Moyenne
185,2024-01-01,RH,Problème de calcul des anciennetés,Logiciel,Basse
186,2024-01-01,Comptabilité,Problème de consolidation des comptes,Logiciel,Élevée
187,2024-01-02,Ventes,Problème de microphone sur casque sans fil,Matériel,Moyenne
188,2024-01-02,Service Client,Demande de création de template de réponse,Compte/Mot de passe,Basse
189,2024-01-03,Logistique,Problème de géolocalisation des véhicules,Logiciel,Moyenne
190,2024-01-03,R&D,Problème de version des librairies ML,Logiciel,Élevée
191,2024-01-04,Production,Capteur de niveau de carburant défaillant,Matériel,Élevée
192,2024-01-04,Qualité,Problème de génération des cartes de contrôle,Logiciel,Moyenne
193,2024-01-05,IT Support,Problème de routage vers les serveurs distants,Réseau,Élevée
194,2024-01-05,Marketing,Problème de tracking des conversions,Logiciel,Moyenne
195,2024-01-06,RH,Problème d'export des données vers le SIRH,Logiciel,Moyenne
196,2024-01-06,Comptabilité,Problème de calcul des amortissements,Logiciel,Élevée
197,2024-01-07,Ventes,Problème de tactile sur l'écran interactif,Matériel,Moyenne
198,2024-01-07,Service Client,Demande de configuration des signatures groupées,Compte/Mot de passe,Basse
199,2024-01-08,Logistique,Problème de synchronisation des inventaires,Logiciel,Moyenne
200,2024-01-08,R&D,Problème de parallélisation des calculs,Logiciel,Élevée
